name,address,rating,reviews_count,price_range,lat,lon,district,village,regency,type,phone,website,opening_hours,opening_hours_weekly,maps_link,search_query,scraped_at,coordinate_source,precision_score
18+ Music Bar,"Bar ·  · Rooftop Uttara The Icon Apartment, Jl. Kaliurang No.72 Km. 5,5 No",4.6,93,Rp 75–100 rb per orang,-7.7582126,110.3812969,Mlati,Sinduadi,Sleman,Modern,0818-1823-1818,http://pulangkeuttara.com/,Buka ⋅ Tutup pukul 00.00,"{'Kamis': '17.00–00.00', 'Jumat': '17.00–00.00', 'Sabtu': '17.00–00.00', 'Minggu': '17.00–00.00', 'Senin': '17.00–00.00', 'Selasa': '17.00–00.00', 'Rabu': '17.00–00.00'}",https://www.google.com/maps/place/18%2B+Music+Bar/data=!4m7!3m6!1s0x2e7a59a6ec98edeb:0xb8cdd0415f1fb31c!8m2!3d-7.7582126!4d110.3812969!16s%2Fg%2F11l23p9k54!19sChIJ6-2Y7KZZei4RHLMfX0HQzbg?authuser=0&hl=id&rclk=1,Bar  dekat alun alun kidul,2025-08-28T17:54:47.467144,extract_from_url,0.9
& Boba Bar Jakal - Jogja,"Purwosari, Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55284",5.0,21,,-7.7516348,110.3851171,Mlati,Sinduadi,Sleman,Modern,,,Buka ⋅ Tutup pukul 21.00,"{'Kamis': '10.00–21.00', 'Jumat': '10.00–21.00', 'Sabtu': '10.00–21.00', 'Minggu': '10.00–21.00', 'Senin': '10.00–21.00', 'Selasa': '10.00–21.00', 'Rabu': '10.00–21.00'}",https://www.google.com/maps/place/%26+Boba+Bar+Jakal+-+Jogja/data=!4m7!3m6!1s0x2e7a59169dddf609:0xb21bbeac4ea58837!8m2!3d-7.7516348!4d110.3851171!16s%2Fg%2F11mxw1jwqn!19sChIJCfbdnRZZei4RN4ilTqy-G7I?authuser=0&hl=id&rclk=1,Bar  dekat alun alun kidul,2025-08-28T17:54:47.468068,extract_from_url,0.9
Warunk Rejeki,"Bar · 69VV+7W2, Jl. Affandi",5.0,11,Rp 25–50 rb per orang,-7.7566711,110.3946936,Mlati,Sinduadi,Sleman,Modern,,,Buka ⋅ Tutup pukul 23.00,"{'Kamis': '12.00–23.00', 'Jumat': '12.00–23.00', 'Sabtu': '12.00–23.00', 'Minggu': '12.00–23.00', 'Senin': '12.00–23.00', 'Selasa': '12.00–23.00', 'Rabu': '12.00–23.00'}",https://www.google.com/maps/place/Warunk+Rejeki/data=!4m7!3m6!1s0x2e7a59004e5b5ad1:0x56dbd120959eaae4!8m2!3d-7.7566711!4d110.3946936!16s%2Fg%2F11vm7gb4jn!19sChIJ0VpbTgBZei4R5KqelSDR21Y?authuser=0&hl=id&rclk=1,Bar  dekat alun alun kidul,2025-08-28T17:54:47.469509,extract_from_url,0.9
Cuba Libre,Bar · Jl. Melon Mundusaren No.12,4.4,394,$$,-7.7761786,110.4031704,Sleman,Sleman,Sleman,Modern,0817-530-882,,Buka ⋅ Tutup pukul 02.00,"{'Kamis': '15.00–02.00', 'Jumat': '15.00–02.00', 'Sabtu': '15.00–02.00', 'Minggu': '15.00–02.00', 'Senin': '15.00–02.00', 'Selasa': '15.00–02.00', 'Rabu': '15.00–02.00'}",https://www.google.com/maps/place/Cuba+Libre/data=!4m7!3m6!1s0x2e7a59ea62c68969:0x92ef29eb4371f9d5!8m2!3d-7.7761786!4d110.4031704!16s%2Fg%2F11b6jdddm3!19sChIJaYnGYupZei4R1flxQ-sp75I?authuser=0&hl=id&rclk=1,Bar  dekat alun alun kidul,2025-08-28T17:54:47.855161,extract_from_url,0.9
Taman Sari Bar & Grill Restaurant,"Steak · Yogyakarta Marriott Hotel, Jl. Ring Road Utara 2nd Floor",4.8,224,Rp 250.000+ per orang,-7.7618017,110.3981728,Mlati,Sinduadi,Sleman,Cafe & Restaurant,(0274) 6000888,https://www.marriott.com/en-us/dining/restaurant-bar/jogmc-yogyakarta-marriott-hotel/6044297-soir-e-lounge-grill.mi,Buka ⋅ Tutup pukul 23.00,{},https://www.google.com/maps/place/Taman+Sari+Bar+%26+Grill+Restaurant/data=!4m7!3m6!1s0x2e7a59a316ba1183:0xd584a0d88561d888!8m2!3d-7.7618017!4d110.3981728!16s%2Fg%2F11f4l990zc!19sChIJgxG6FqNZei4RiNhhhdighNU?authuser=0&hl=id&rclk=1,Bar  dekat alun alun kidul,2025-08-28T17:54:47.861598,extract_from_url,0.9
Happy Puppy Ringroad Utara,Bar Karaoke ·  · Jl. Ring Road Utara No.33,4.6,3760,Rp 25–50 rb per orang,-7.7576121,110.3865066,Mlati,Sinduadi,Sleman,Modern,(0274) 886035,,Buka ⋅ Tutup pukul 02.00,"{'Kamis': '11.00–02.00', 'Jumat': '11.00–02.00', 'Sabtu': '11.00–02.00', 'Minggu': '11.00–02.00', 'Senin': '11.00–02.00', 'Selasa': '11.00–02.00', 'Rabu': '11.00–02.00'}",https://www.google.com/maps/place/Happy+Puppy+Ringroad+Utara/data=!4m7!3m6!1s0x2e7a59a5e73a41ef:0xfde3704b92a31e6a!8m2!3d-7.7576121!4d110.3865066!16s%2Fg%2F1tdsmd4d!19sChIJ70E656VZei4Rah6jkktw4_0?authuser=0&hl=id&rclk=1,Bar  dekat alun alun kidul,2025-08-28T17:54:47.869478,extract_from_url,0.9
basori(ꦧꦱꦺꦴꦫꦶ),"Bar · 59R6+JFX, Jl. Magangan Kulon",4.6,18,,-7.8083882,110.3612401,Yogyakarta,Malioboro,Yogyakarta,Modern,0899-5081-999,,Buka 24 jam,"{'Kamis': 'Buka 24 jam', 'Jumat': 'Buka 24 jam', 'Sabtu': 'Buka 24 jam', 'Minggu': 'Buka 24 jam', 'Senin': 'Buka 24 jam', 'Selasa': 'Buka 24 jam', 'Rabu': 'Buka 24 jam'}",https://www.google.com/maps/place/basori%28%EA%A6%A7%EA%A6%B1%EA%A6%BA%EA%A6%B4%EA%A6%AB%EA%A6%B6%29/data=!4m7!3m6!1s0x2e7a5728d89d4dc1:0x497ea3cddd0fda9a!8m2!3d-7.8083882!4d110.3612401!16s%2Fg%2F11ghfd7r67!19sChIJwU2d2ChXei4RmtoP3c2jfkk?authuser=0&hl=id&rclk=1,Bar  dekat alun alun utara,2025-08-28T17:55:54.340272,extract_from_url,0.9
Pub Med Yogyakarta,"Bar · Meliá Purosani Yogyakarta, Jl. Mayor Suryotomo No.31",4.2,26,,-7.7970305,110.3687073,Jetis,Bumijo,Yogyakarta,Modern,(0274) 589521,,Buka ⋅ Tutup pukul 23.00,"{'Kamis': '10.00–23.00', 'Jumat': '10.00–23.00', 'Sabtu': '10.00–00.00', 'Minggu': '10.00–23.00', 'Senin': '10.00–23.00', 'Selasa': '10.00–23.00', 'Rabu': '10.00–23.00'}",https://www.google.com/maps/place/Pub+Med+Yogyakarta/data=!4m7!3m6!1s0x2e7a578653c64307:0xb7c1372cf5e55b5d!8m2!3d-7.7970305!4d110.3687073!16s%2Fg%2F1pzv8t4sc!19sChIJB0PGU4ZXei4RXVvl9Sw3wbc?authuser=0&hl=id&rclk=1,Bar  dekat alun alun utara,2025-08-28T17:55:54.362179,extract_from_url,0.9
Angkringan Kriwil꧋ꦄꦁꦏꦿꦶꦔꦤ꧀ꦏꦿꦶꦮꦶꦭ꧀,Bar · No Jl. Alun-Alun Utara No.1,4.6,16,$,-7.8052874,110.3630437,Yogyakarta,Malioboro,Yogyakarta,Traditional,0838-2952-5993,,Buka ⋅ Tutup pukul 03.00,"{'Kamis': '17.30–03.00', 'Jumat': '17.30–03.00', 'Sabtu': '17.30–03.00', 'Minggu': '17.30–03.00', 'Senin': '17.30–03.00', 'Selasa': '17.30–03.00', 'Rabu': '17.30–03.00'}",https://www.google.com/maps/place/Angkringan+Kriwil%EA%A7%8B%EA%A6%84%EA%A6%81%EA%A6%8F%EA%A6%BF%EA%A6%B6%EA%A6%94%EA%A6%A4%EA%A7%80%EA%A6%8F%EA%A6%BF%EA%A6%B6%EA%A6%AE%EA%A6%B6%EA%A6%AD%EA%A7%80/data=!4m7!3m6!1s0x2e7a578e30f65603:0x32b13124e30e0325!8m2!3d-7.8052874!4d110.3630437!16s%2Fg%2F11clzr31km!19sChIJA1b2MI5Xei4RJQMO4yQxsTI?authuser=0&hl=id&rclk=1,Bar  dekat alun alun utara,2025-08-28T17:55:54.372265,extract_from_url,0.9
Teh tarik semar,Bar Minuman Koktail · Kauman gm 1 No.225,5.0,1,,-7.7999451,110.3651385,Jetis,Bumijo,Yogyakarta,Modern,0831-3144-4475,,,{},https://www.google.com/maps/place/Teh+tarik+semar/data=!4m7!3m6!1s0x2e7a572c65204f3d:0xd9b06be01bb92a51!8m2!3d-7.7999451!4d110.3651385!16s%2Fg%2F11sfbtwvs2!19sChIJPU8gZSxXei4RUSq5G-BrsNk?authuser=0&hl=id&rclk=1,Bar  dekat alun alun utara,2025-08-28T17:55:54.557290,extract_from_url,0.9
