name,address,rating,reviews_count,price_range,lat,lon,district,village,regency,type,phone,website,opening_hours,search_query,scraped_at,coordinate_source,precision_score
Paddys Cafe & Eatery,Restoran · Jl. Pramuka No.10,0.0,0,Rp 25–50 rb,-7.8784946,110.3366311,Bantul,,Bantul,Cafe & Restaurant,,,Buka ⋅ Tutup pukul 23.00,cafe  bantul,2025-08-28T14:00:48.801485,extract_from_url,0.9
KOHI COFFEE HOUSE AND SPACE,Kedai Kopi ·  · Jl. May Jen. Sutoyo,0.0,0,Rp 25–50 rb,-7.885447,110.3321655,Bantul,,Bantul,Coffee Shop,,,Buka ⋅ Tutup pukul 23.00,cafe  bantul,2025-08-28T14:00:48.824085,extract_from_url,0.9
Kopi Bantul Coffee & Roastery,Kedai Kopi · Jl. Bantul No.km 10,0.0,0,Rp 1–25.000,-7.8763075,110.3349051,Bantul,,Bantul,Roastery,,,Buka ⋅ Tutup pukul 00.00,cafe  bantul,2025-08-28T14:00:48.848254,extract_from_url,0.9
Haia Space,Kafe ·  · Jl. Jend. Sudirman No.38,0.0,0,Rp 25–50 rb,-7.8828436,110.3322238,Bantul,,Bantul,Modern,,,Buka ⋅ Tutup pukul 23.00,cafe  bantul,2025-08-28T14:00:48.950858,extract_from_url,0.9
Poma Coffee and Resto,Kafe · Jl. Marsda Adisucipto No.47,0.0,0,Rp 1–25.000,-7.8955886,110.3368268,Bantul,,Bantul,Coffee Shop,,,Buka ⋅ Tutup pukul 22.00,cafe  bantul,2025-08-28T14:00:49.106257,extract_from_url,0.9
Javanesa Coffee,"Kedai Kopi ·  · 489G+52V, Jl. Gatot Subroto",0.0,0,Rp 1–25.000,-7.8819607,110.3250778,Bantul,,Bantul,Coffee Shop,,,Buka ⋅ Tutup pukul 22.00,cafe  bantul,2025-08-28T14:00:49.125670,extract_from_url,0.9
Temani Ngopi,Kafe · Jl. Urip Sumoharjo No.8,0.0,0,Rp 1–25.000,-7.8916675,110.3291109,Bantul,,Bantul,Modern,,,Buka ⋅ Tutup pukul 23.00,cafe  bantul,2025-08-28T14:00:49.148851,extract_from_url,0.9
Arka Coffee and Space,Kedai Kopi ·  · Jl. Taman Sari No.1/310,0.0,0,Rp 25–50 rb,-7.8101671,110.3603694,Yogyakarta,,Yogyakarta,Coffee Shop,,,Buka ⋅ Tutup pukul 00.00,cafe  dekat keraton yogyakarta,2025-08-28T14:01:12.008986,extract_from_url,0.9
OKID Cafe,Kedai Kopi · Jl. Panembahan No.1-3,0.0,0,Rp 25–50 rb,-7.8063147,110.3676935,Yogyakarta,,Yogyakarta,Modern,,,Buka ⋅ Tutup pukul 00.00,cafe  dekat keraton yogyakarta,2025-08-28T14:01:12.063631,extract_from_url,0.9
Negra Coffee,Kedai Kopi · Jl. Polowijan No.42,0.0,0,Rp 25–50 rb,-7.8078153,110.3594167,,,Yogyakarta,Coffee Shop,,,Buka ⋅ Tutup pukul 00.00,cafe  dekat keraton yogyakarta,2025-08-28T14:01:12.124617,extract_from_url,0.9
Sapulu Coffee,Kafe ·  · Jl. Panembahan Mangkurat No.10,0.0,0,Rp 25–50 rb,-7.80701,110.3667512,Yogyakarta,,Yogyakarta,Coffee Shop,,,Buka ⋅ Tutup pukul 22.00,cafe  dekat keraton yogyakarta,2025-08-28T14:01:12.126589,extract_from_url,0.9
HSCO. Had Some Coffee.,Kedai Kopi · Jl. Pekapalan,0.0,0,Rp 25–50 rb,-7.802682,110.3636682,Yogyakarta,,Yogyakarta,Coffee Shop,,,Buka ⋅ Tutup pukul 22.00,cafe  dekat keraton yogyakarta,2025-08-28T14:01:12.163858,extract_from_url,0.9
