name,address,rating,reviews_count,price_range,lat,lon,district,village,regency,type,phone,website,opening_hours,opening_hours_weekly,maps_link,search_query,scraped_at,coordinate_source,precision_score
10/10 Pool Bar Rooftop,"Bar ·  · 10th floor of Novotel Suites, Jl. Malioboro No.52 58",4.9,100,,-7.7931709,110.3665629,Jetis,Bumijo,Yogyakarta,Modern,"
(0274) 5018888",https://1010poolbar.com/,8.00 am–12.00 am,"{'Friday': '8.00\u202fam–12.00\u202fam', 'Saturday': '8.00\u202fam–12.00\u202fam', 'Sunday': '8.00\u202fam–12.00\u202fam', 'Monday': '8.00\u202fam–12.00\u202fam', 'Tuesday': '8.00\u202fam–12.00\u202fam', 'Wednesday': '8.00\u202fam–12.00\u202fam', 'Thursday': '8.00\u202fam–12.00\u202fam'}",https://www.google.com/maps/place/10%2F10+Pool+Bar+Rooftop/data=!4m7!3m6!1s0x2e7a595128cf93f9:0x20fd17008bb85edd!8m2!3d-7.7931709!4d110.3665629!16s%2Fg%2F11q3rc9fk3!19sChIJ-ZPPKFFZei4R3V64iwAX_SA?authuser=0&hl=en&rclk=1,Bar best malioboro,2025-08-29T16:27:03.833595,extract_from_url,0.9
ANDORRA Restaurant & Bar,"Bar ·  · PYRENEES Yogyakarta, Jl. Sosrowijayan No.1 lantai 1",4.8,136,Rp 25–50K per person,-7.791829,110.365605,Jetis,Bumijo,Yogyakarta,Cafe & Restaurant,"
0895-1022-5509",https://www.instagram.com/andorra.malioboro/,6.00 am–10.00 pm,"{'Friday': '6.00\u202fam–10.00\u202fpm', 'Saturday': '6.00\u202fam–10.00\u202fpm', 'Sunday': '6.00\u202fam–10.00\u202fpm', 'Monday': '6.00\u202fam–10.00\u202fpm', 'Tuesday': '6.00\u202fam–10.00\u202fpm', 'Wednesday': '6.00\u202fam–10.00\u202fpm', 'Thursday': '6.00\u202fam–10.00\u202fpm'}",https://www.google.com/maps/place/ANDORRA+Restaurant+%26+Bar/data=!4m7!3m6!1s0x2e7a582616b26f67:0xdeff38077a7a739d!8m2!3d-7.791829!4d110.365605!16s%2Fg%2F11bbx0d1f2!19sChIJZ2-yFiZYei4RnXN6egc4_94?authuser=0&hl=en&rclk=1,Bar best malioboro,2025-08-29T16:27:03.842747,extract_from_url,0.9
Sakapatat Beer House & Resto,Grill · Jl. Pakuningratan No.34,4.5,3202,$$,-7.780671,110.3642629,Jetis,Bumijo,Yogyakarta,Cafe & Restaurant,"
0822-3119-7986",https://linktr.ee/sakapatat,5.00 pm–1.00 am,"{'Friday': '5.00\u202fpm–1.00\u202fam', 'Saturday': '5.00\u202fpm–1.00\u202fam', 'Sunday': '5.00\u202fpm–1.00\u202fam', 'Monday': '5.00\u202fpm–1.00\u202fam', 'Tuesday': '5.00\u202fpm–1.00\u202fam', 'Wednesday': '5.00\u202fpm–1.00\u202fam', 'Thursday': '5.00\u202fpm–1.00\u202fam'}",https://www.google.com/maps/place/Sakapatat+Beer+House+%26+Resto/data=!4m7!3m6!1s0x2e7a583a274dc3cf:0xc6f5aa04af7b68f5!8m2!3d-7.780671!4d110.3642629!16s%2Fg%2F11bx5pt2vm!19sChIJz8NNJzpYei4R9Wh7rwSq9cY?authuser=0&hl=en&rclk=1,Bar best malioboro,2025-08-29T16:27:04.132505,extract_from_url,0.9
Chadis Bar Yogyakarta,Bar · Jl. Jend. Sudirman No.69,4.6,103,Rp 150–175K per person,-7.7827432,110.3744013,Yogyakarta,Malioboro,Yogyakarta,Modern,"
(0274) 2921888",,10.00 am–11.00 pm,"{'Friday': '10.00\u202fam–11.00\u202fpm', 'Saturday': '10.00\u202fam–11.00\u202fpm', 'Sunday': '10.00\u202fam–11.00\u202fpm', 'Monday': '10.00\u202fam–11.00\u202fpm', 'Tuesday': '10.00\u202fam–11.00\u202fpm', 'Wednesday': '10.00\u202fam–11.00\u202fpm', 'Thursday': '10.00\u202fam–11.00\u202fpm'}",https://www.google.com/maps/place/Chadis+Bar+Yogyakarta/data=!4m7!3m6!1s0x2e7a58324aaa76cd:0xd6031312e5fffe61!8m2!3d-7.7827432!4d110.3744013!16s%2Fg%2F11cs01hldf!19sChIJzXaqSjJYei4RYf7_5RITA9Y?authuser=0&hl=en&rclk=1,Bar best malioboro,2025-08-29T16:27:04.135377,extract_from_url,0.9
Ibar Malioboro,Bar · Jl. Kp. Jl. Sosrokusuman No.18,3.9,16,Rp 100–125K per person,-7.7928594,110.3663054,Jetis,Bumijo,Yogyakarta,Modern,,,Open 24 hours,"{'Friday': 'Open 24 hours', 'Saturday': 'Open 24 hours', 'Sunday': 'Open 24 hours', 'Monday': 'Open 24 hours', 'Tuesday': 'Open 24 hours', 'Wednesday': 'Open 24 hours', 'Thursday': 'Open 24 hours'}",https://www.google.com/maps/place/Ibar+Malioboro/data=!4m7!3m6!1s0x2e7a59d96877d47f:0x1395dd926b7960b8!8m2!3d-7.7928594!4d110.3663054!16s%2Fg%2F11g1p38gn8!19sChIJf9R3aNlZei4RuGB5a5LdlRM?authuser=0&hl=en&rclk=1,Bar best malioboro,2025-08-29T16:27:04.392489,extract_from_url,0.9
Neo Sky Lounge,Lounge ·  · Jl. Ps. Kembang No.21,4.6,156,,-7.7901667,110.3646806,Jetis,Bumijo,Yogyakarta,Modern,"
(0274) 511999",,4.00–11.00 pm,"{'Friday': '4.00–11.00\u202fpm', 'Saturday': '4.00–11.00\u202fpm', 'Sunday': '4.00–11.00\u202fpm', 'Monday': '4.00–11.00\u202fpm', 'Tuesday': '4.00–11.00\u202fpm', 'Wednesday': '4.00–11.00\u202fpm', 'Thursday': '4.00–11.00\u202fpm'}",https://www.google.com/maps/place/Neo+Sky+Lounge/data=!4m7!3m6!1s0x2e7a5825c3a7d505:0x2fc1ade0521fc045!8m2!3d-7.7901667!4d110.3646806!16s%2Fg%2F11gbx9ty4_!19sChIJBdWnwyVYei4RRcAfUuCtwS8?authuser=0&hl=en&rclk=1,Bar best malioboro,2025-08-29T16:27:04.716340,extract_from_url,0.9
HW Dragon Bar Jogja,"Lounge · JL. Magelang No. 25, Kutu Tegal, Siduadi, Mlati, Sleman Daerah Istimewa",4.7,318,Rp 250.000+ per person,-7.7543262,110.3622802,Depok,Caturtunggal,Sleman,Modern,"
(021) 50886170",http://hwgroup.id/,8.00 pm–3.30 am,"{'Friday': '8.00\u202fpm–3.30\u202fam', 'Saturday': '8.00\u202fpm–3.30\u202fam', 'Sunday': '8.00\u202fpm–3.30\u202fam', 'Monday': '8.00\u202fpm–3.30\u202fam', 'Tuesday': '8.00\u202fpm–3.30\u202fam', 'Wednesday': '8.00\u202fpm–3.30\u202fam', 'Thursday': '8.00\u202fpm–3.30\u202fam'}",https://www.google.com/maps/place/HW+Dragon+Bar+Jogja/data=!4m7!3m6!1s0x2e7a5968bfe4a0d5:0x6e07c79795d3dbb9!8m2!3d-7.7543262!4d110.3622802!16s%2Fg%2F11sb2wwn9h!19sChIJ1aDkv2hZei4RudvTlZfHB24?authuser=0&hl=en&rclk=1,Bar best malioboro,2025-08-29T16:27:04.984784,extract_from_url,0.9
The Infinity Sky Bar,"Bar · no. 28, Jl. Raya Solo - Yogyakarta",5.0,1482,,-7.7828797,110.4372409,Maguwoharjo,Jalan Jogja - Solo,Sleman,Modern,"
0811-5995-066",https://www.instagram.com/theinfinityskybar/,8.00 am–11.00 pm,"{'Friday': '8.00\u202fam–11.00\u202fpm', 'Saturday': '8.00\u202fam–11.00\u202fpm', 'Sunday': '8.00\u202fam–11.00\u202fpm', 'Monday': '8.00\u202fam–11.00\u202fpm', 'Tuesday': '8.00\u202fam–11.00\u202fpm', 'Wednesday': '8.00\u202fam–11.00\u202fpm', 'Thursday': '8.00\u202fam–11.00\u202fpm'}",https://www.google.com/maps/place/The+Infinity+Sky+Bar/data=!4m7!3m6!1s0x2e7a5a0545700001:0xbcef0b0893317a0e!8m2!3d-7.7828797!4d110.4372409!16s%2Fg%2F11j4sw07ck!19sChIJAQBwRQVaei4RDnoxkwgL77w?authuser=0&hl=en&rclk=1,Bar best malioboro,2025-08-29T16:27:04.283539,extract_from_url,0.9
Karta Coffee & Eatery,"Coffee shop · Karta Coffee & Eatery, Jl. Malioboro. 52-58, Suryatmajan, Danurejan Plaza Malioboro, Lt. 1 Unit 13-16",4.8,511,Rp 25–50K per person,-7.7936271,110.3658864,Jetis,Bumijo,Yogyakarta,Coffee Shop,"
0811-1991-995",http://instagram.com/karta.cafe,10.00 am–10.00 pm,"{'Friday': '10.00\u202fam–10.00\u202fpm', 'Saturday': '9.00\u202fam–10.00\u202fpm', 'Sunday': '9.00\u202fam–10.00\u202fpm', 'Monday': '10.00\u202fam–10.00\u202fpm', 'Tuesday': '10.00\u202fam–10.00\u202fpm', 'Wednesday': '10.00\u202fam–10.00\u202fpm', 'Thursday': '10.00\u202fam–10.00\u202fpm'}",https://www.google.com/maps/place/Karta+Coffee+%26+Eatery/data=!4m7!3m6!1s0x2e7a59218cdcadff:0x98af621f09af61f4!8m2!3d-7.7936271!4d110.3658864!16s%2Fg%2F11trh_5cy2!19sChIJ_63cjCFZei4R9GGvCR9ir5g?authuser=0&hl=en&rclk=1,Bar buat nugas malioboro,2025-08-29T16:28:41.754400,extract_from_url,0.9
Legend Coffee,Cafe ·  · Jl. Abu Bakar Ali No.24-26,4.4,10827,Rp 25–50K per person,-7.7881602,110.372794,Yogyakarta,Malioboro,Yogyakarta,Coffee Shop,"
0877-0537-0974",http://www.legendcoffeejogja.com/,10.00 am–1.00 am,"{'Friday': '10.00\u202fam–1.00\u202fam', 'Saturday': '10.00\u202fam–2.00\u202fam', 'Sunday': '10.00\u202fam–1.00\u202fam', 'Monday': '10.00\u202fam–1.00\u202fam', 'Tuesday': '10.00\u202fam–1.00\u202fam', 'Wednesday': '10.00\u202fam–1.00\u202fam', 'Thursday': '10.00\u202fam–1.00\u202fam'}",https://www.google.com/maps/place/Legend+Coffee/data=!4m7!3m6!1s0x2e7a582ec18d1347:0x34afc639ceaa0573!8m2!3d-7.7881602!4d110.372794!16s%2Fg%2F1pzrm44fv!19sChIJRxONwS5Yei4RcwWqzjnGrzQ?authuser=0&hl=en&rclk=1,Bar buat nugas malioboro,2025-08-29T16:28:41.808989,extract_from_url,0.9
