name,address,rating,reviews_count,price_range,lat,lon,district,village,regency,type,phone,website,opening_hours,opening_hours_weekly,maps_link,search_query,scraped_at,coordinate_source,precision_score
What The Deck,Bar · Jl. Colombo No.7,4.7,52,,-7.776464,110.3820885,Sleman,Sleman,Sleman,Modern,0877-8750-7999,https://www.instagram.com/whatthedeck.yk/?hl=id,Buka ⋅ Tutup pukul 23.00,"{'Jumat': '16.00–23.00', 'Sabtu': '16.00–23.00', 'Minggu': '16.00–23.00', 'Senin': '16.00–23.00', 'Selasa': '16.00–23.00', 'Rabu': '16.00–23.00', 'Kamis': '16.00–23.00'}",https://www.google.com/maps/place/What+The+Deck/data=!4m7!3m6!1s0x2e7a59540ca67897:0x654301f34242e17e!8m2!3d-7.776464!4d110.3820885!16s%2Fg%2F11p06nwmvy!19sChIJl3imDFRZei4RfuFCQvMBQ2U?authuser=0&hl=id&rclk=1,Bar best sekitar ugm jogja,2025-08-29T16:27:52.516439,extract_from_url,0.9
Chadis Rooftop Bar,Bar · Jl. Jend. Sudirman No.69,4.6,103,Rp 150–175 rb per orang,-7.7827432,110.3744013,Yogyakarta,Malioboro,Yogyakarta,Modern,(0274) 2921888,,Buka ⋅ Tutup pukul 23.00,"{'Jumat': '10.00–23.00', 'Sabtu': '10.00–23.00', 'Minggu': '10.00–23.00', 'Senin': '10.00–23.00', 'Selasa': '10.00–23.00', 'Rabu': '10.00–23.00', 'Kamis': '10.00–23.00'}",https://www.google.com/maps/place/Chadis+Rooftop+Bar/data=!4m7!3m6!1s0x2e7a58324aaa76cd:0xd6031312e5fffe61!8m2!3d-7.7827432!4d110.3744013!16s%2Fg%2F11cs01hldf!19sChIJzXaqSjJYei4RYf7_5RITA9Y?authuser=0&hl=id&rclk=1,Bar best sekitar ugm jogja,2025-08-29T16:27:52.601045,extract_from_url,0.9
Eboni Bar And Lounge,"Bar · Hotel Tentrem Area, No. 72 A, Jl. A.M. Sangaji",4.8,133,,-7.7736669,110.3688991,Sleman,Sleman,Sleman,Modern,(0274) 6415555,http://www.hoteltentrem.com/tentrem/index.php/dining/eboni-bar-lounge/,Buka ⋅ Tutup pukul 01.00,"{'Jumat': '09.00–01.00', 'Sabtu': '09.00–01.00', 'Minggu': '09.00–00.00', 'Senin': '09.00–00.00', 'Selasa': '09.00–00.00', 'Rabu': '09.00–00.00', 'Kamis': '09.00–00.00'}",https://www.google.com/maps/place/Eboni+Bar+And+Lounge/data=!4m7!3m6!1s0x2e7a58484660bac5:0x21e068fc8279428b!8m2!3d-7.7736669!4d110.3688991!16s%2Fg%2F11bbylm722!19sChIJxbpgRkhYei4Ri0J5gvxo4CE?authuser=0&hl=id&rclk=1,Bar best sekitar ugm jogja,2025-08-29T16:27:52.745858,extract_from_url,0.9
18+ Music Bar,"Bar ·  · Rooftop Uttara The Icon Apartment, Jl. Kaliurang No.72 Km. 5,5 No",4.6,93,Rp 75–100 rb per orang,-7.7582126,110.3812969,Mlati,Sinduadi,Sleman,Modern,0818-1823-1818,http://pulangkeuttara.com/,Tutup ⋅ Buka pukul 17.00,"{'Jumat': '17.00–00.00', 'Sabtu': '17.00–00.00', 'Minggu': '17.00–00.00', 'Senin': '17.00–00.00', 'Selasa': '17.00–00.00', 'Rabu': '17.00–00.00', 'Kamis': '17.00–00.00'}",https://www.google.com/maps/place/18%2B+Music+Bar/data=!4m7!3m6!1s0x2e7a59a6ec98edeb:0xb8cdd0415f1fb31c!8m2!3d-7.7582126!4d110.3812969!16s%2Fg%2F11l23p9k54!19sChIJ6-2Y7KZZei4RHLMfX0HQzbg?authuser=0&hl=id&rclk=1,Bar best sekitar ugm jogja,2025-08-29T16:27:52.844587,extract_from_url,0.9
HW Dragon Bar Jogja,"Lounge · JL. Magelang No. 25, Kutu Tegal, Siduadi, Mlati, Sleman Daerah Istimewa",4.7,318,Rp 250.000+ per orang,-7.7543262,110.3622802,Depok,Caturtunggal,Sleman,Modern,(021) 50886170,http://hwgroup.id/,Tutup ⋅ Buka pukul 20.00,"{'Jumat': '20.00–03.30', 'Sabtu': '20.00–03.30', 'Minggu': '20.00–03.30', 'Senin': '20.00–03.30', 'Selasa': '20.00–03.30', 'Rabu': '20.00–03.30', 'Kamis': '20.00–03.30'}",https://www.google.com/maps/place/HW+Dragon+Bar+Jogja/data=!4m7!3m6!1s0x2e7a5968bfe4a0d5:0x6e07c79795d3dbb9!8m2!3d-7.7543262!4d110.3622802!16s%2Fg%2F11sb2wwn9h!19sChIJ1aDkv2hZei4RudvTlZfHB24?authuser=0&hl=id&rclk=1,Bar best sekitar ugm jogja,2025-08-29T16:27:53.120192,extract_from_url,0.9
"Platinum Kitchen, Bar & Lounge",Bar · Jl. Urip Sumoharjo No.111A,4.6,1289,$$$,-7.7827839,110.3857587,Yogyakarta,Malioboro,Yogyakarta,Modern,,,Tutup ⋅ Buka pukul 20.00,"{'Jumat': '20.00–03.00', 'Sabtu': '20.00–03.00', 'Minggu': '20.00–03.00', 'Senin': '20.00–03.00', 'Selasa': '20.00–03.00', 'Rabu': '20.00–03.00', 'Kamis': '20.00–03.00'}","https://www.google.com/maps/place/Platinum+Kitchen,+Bar+%26+Lounge/data=!4m7!3m6!1s0x2e7a59ce692c4963:0x133ef4cdecefb13d!8m2!3d-7.7827839!4d110.3857587!16s%2Fg%2F11dfpk8kkz!19sChIJY0ksac5Zei4RPbHv7M30PhM?authuser=0&hl=id&rclk=1",Bar best sekitar ugm jogja,2025-08-29T16:27:53.391207,extract_from_url,0.9
Taman Sari Bar & Grill Restaurant,"Steak · Yogyakarta Marriott Hotel, Jl. Ring Road Utara 2nd Floor",4.8,225,Rp 250.000+ per orang,-7.7618017,110.3981728,Mlati,Sinduadi,Sleman,Cafe & Restaurant,(0274) 6000888,https://www.marriott.com/en-us/dining/restaurant-bar/jogmc-yogyakarta-marriott-hotel/6044297-soir-e-lounge-grill.mi,Buka ⋅ Tutup pukul 23.00,{},https://www.google.com/maps/place/Taman+Sari+Bar+%26+Grill+Restaurant/data=!4m7!3m6!1s0x2e7a59a316ba1183:0xd584a0d88561d888!8m2!3d-7.7618017!4d110.3981728!16s%2Fg%2F11f4l990zc!19sChIJgxG6FqNZei4RiNhhhdighNU?authuser=0&hl=id&rclk=1,Bar best sekitar ugm jogja,2025-08-29T16:27:53.692789,extract_from_url,0.9
Arcadaz Speakeasy Lounge and Bar,Lounge · Jl. Laksda Adisucipto No.82,4.7,186,,-7.7835759,110.4005488,Catur Tunggal,Ambarukmo,Sleman,Modern,(0274) 2800088,http://grammhotel.com/,Buka ⋅ Tutup pukul 03.00,"{'Jumat': '16.00–03.00', 'Sabtu': '16.00–03.00', 'Minggu': '17.00–00.00', 'Senin': '16.00–00.00', 'Selasa': '16.00–00.00', 'Rabu': '16.00–00.00', 'Kamis': '16.00–00.00'}",https://www.google.com/maps/place/Arcadaz+Speakeasy+Lounge+and+Bar/data=!4m7!3m6!1s0x2e7a59c2c92000b3:0xead666e7576aaf70!8m2!3d-7.7835759!4d110.4005488!16s%2Fg%2F11f40hg8fw!19sChIJswAgycJZei4RcK9qV-dm1uo?authuser=0&hl=id&rclk=1,Bar best sekitar ugm jogja,2025-08-29T16:27:52.971147,extract_from_url,0.9
VAMOS Bar&Restaurant,Bar · Jl. Urip Sumoharjo No.111A,4.9,396,Rp 250.000+ per orang,-7.7828623,110.3857367,Yogyakarta,Malioboro,Yogyakarta,Cafe & Restaurant,0877-1122-5757,,Tutup ⋅ Buka pukul 18.00,"{'Jumat': '18.00–03.00', 'Sabtu': '18.00–03.00', 'Minggu': '18.00–03.00', 'Senin': '18.00–03.00', 'Selasa': '18.00–03.00', 'Rabu': '18.00–03.00', 'Kamis': '18.00–03.00'}",https://www.google.com/maps/place/VAMOS+Bar%26Restaurant/data=!4m7!3m6!1s0x2e7a5900241a4c61:0x49a3418e16c58edb!8m2!3d-7.7828623!4d110.3857367!16s%2Fg%2F11vz5jr2kr!19sChIJYUwaJABZei4R247FFo5Bo0k?authuser=0&hl=id&rclk=1,Bar best sekitar ugm jogja,2025-08-29T16:27:54.002505,extract_from_url,0.9
Muse Sky Bar,"Bar · Grand Altuz Rooftop, Jl. Seturan Raya No.10A",4.7,25,,-7.7716495,110.4096045,Sleman,Sleman,Sleman,Modern,0817-7516-0798,http://grand-altuz.id/muse-sky-bar-and-lounge,Buka ⋅ Tutup pukul 23.30,"{'Jumat': '16.00–23.30', 'Sabtu': '16.00–23.30', 'Minggu': '16.00–23.30', 'Senin': '16.00–23.30', 'Selasa': '16.00–23.30', 'Rabu': '16.00–23.30', 'Kamis': '16.00–23.30'}",https://www.google.com/maps/place/Muse+Sky+Bar/data=!4m7!3m6!1s0x2e7a597943e941ad:0x99ec6a5793b32405!8m2!3d-7.7716495!4d110.4096045!16s%2Fg%2F11y6c840ql!19sChIJrUHpQ3lZei4RBSSzk1dq7Jk?authuser=0&hl=id&rclk=1,Bar best sekitar ugm jogja,2025-08-29T16:27:54.045986,extract_from_url,0.9
