name,address,rating,reviews_count,price_range,lat,lon,district,village,regency,type,phone,website,opening_hours,search_query,scraped_at,coordinate_source,precision_score
Haia Space,Kafe ·  · Jl. Jend. Sudirman No.38,0.0,0,Rp 25–50 rb,-7.8828436,110.3322238,Bantul,,Bantul,Modern,,,Buka ⋅ Tutup pukul 23.00,cafe  bantul,2025-08-28T13:28:23.729978,extract_from_url,0.9
KOHI COFFEE HOUSE AND SPACE,Kedai Kopi ·  · Jl. May Jen. Sutoyo,0.0,0,Rp 25–50 rb,-7.885447,110.3321655,Bantul,,Bantul,Coffee Shop,,,Buka ⋅ Tutup pukul 23.00,cafe  bantul,2025-08-28T13:28:23.733878,extract_from_url,0.9
Paddys Cafe & Eatery,Restoran · Jl. Pramuka No.10,0.0,0,Rp 25–50 rb,-7.8784946,110.3366311,Bantul,,Bantul,Cafe & Restaurant,,,Buka ⋅ Tutup pukul 23.00,cafe  bantul,2025-08-28T13:28:23.778023,extract_from_url,0.9
Javanesa Coffee,"Kedai Kopi ·  · 489G+52V, Jl. Gatot Subroto",0.0,0,Rp 1–25.000,-7.8819607,110.3250778,Bantul,,Bantul,Coffee Shop,,,Buka ⋅ Tutup pukul 22.00,cafe  bantul,2025-08-28T13:28:23.944803,extract_from_url,0.9
Poma Coffee and Resto,Kafe · Jl. Marsda Adisucipto No.47,0.0,0,Rp 1–25.000,-7.8955886,110.3368268,Bantul,,Bantul,Coffee Shop,,,Buka ⋅ Tutup pukul 22.00,cafe  bantul,2025-08-28T13:28:23.961086,extract_from_url,0.9
Kopi Bantul Coffee & Roastery,Kedai Kopi · Jl. Bantul No.km 10,0.0,0,Rp 1–25.000,-7.8763075,110.3349051,Bantul,,Bantul,Roastery,,,Buka ⋅ Tutup pukul 00.00,cafe  bantul,2025-08-28T13:28:23.967206,extract_from_url,0.9
Temani Ngopi,Kafe · Jl. Urip Sumoharjo No.8,0.0,0,Rp 1–25.000,-7.8916675,110.3291109,Bantul,,Bantul,Modern,,,Buka ⋅ Tutup pukul 23.00,cafe  bantul,2025-08-28T13:28:24.131092,extract_from_url,0.9
Arka Coffee and Space,Kedai Kopi ·  · Jl. Taman Sari No.1/310,0.0,0,Rp 25–50 rb,-7.8101671,110.3603694,Yogyakarta,,Yogyakarta,Coffee Shop,,,Buka ⋅ Tutup pukul 00.00,cafe  dekat keraton yogyakarta,2025-08-28T13:28:47.493752,extract_from_url,0.9
OKID Cafe,Kedai Kopi · Jl. Panembahan No.1-3,0.0,0,Rp 25–50 rb,-7.8063147,110.3676935,Yogyakarta,,Yogyakarta,Modern,,,Buka ⋅ Tutup pukul 00.00,cafe  dekat keraton yogyakarta,2025-08-28T13:28:47.626917,extract_from_url,0.9
Negra Coffee,Kedai Kopi · Jl. Polowijan No.42,0.0,0,Rp 25–50 rb,-7.8078153,110.3594167,,,Yogyakarta,Coffee Shop,,,Buka ⋅ Tutup pukul 00.00,cafe  dekat keraton yogyakarta,2025-08-28T13:28:47.655847,extract_from_url,0.9
Sapulu Coffee,Kafe ·  · Jl. Panembahan Mangkurat No.10,0.0,0,Rp 25–50 rb,-7.80701,110.3667512,Yogyakarta,,Yogyakarta,Coffee Shop,,,Buka ⋅ Tutup pukul 22.00,cafe  dekat keraton yogyakarta,2025-08-28T13:28:47.674136,extract_from_url,0.9
HSCO. Had Some Coffee.,Kedai Kopi · Jl. Pekapalan,0.0,0,Rp 25–50 rb,-7.802682,110.3636682,Yogyakarta,,Yogyakarta,Coffee Shop,,,Buka ⋅ Tutup pukul 22.00,cafe  dekat keraton yogyakarta,2025-08-28T13:28:47.757775,extract_from_url,0.9
Mamahké Jogja,"Kafe · KT 1 329 Kraton, Jl. Taman",0.0,0,Rp 25–50 rb,-7.8110569,110.3604807,Yogyakarta,,Yogyakarta,Modern,,,Buka ⋅ Tutup pukul 22.00,cafe  dekat keraton yogyakarta,2025-08-28T13:28:47.824634,extract_from_url,0.9
Lunaria Coffee Yogyakarta,Kedai Kopi ·  · Jl. Gedongkiwo No.29,0.0,0,Rp 25–50 rb,-7.8137018,110.3540593,,,Yogyakarta,Coffee Shop,,,Buka ⋅ Tutup pukul 23.00,cafe  dekat keraton yogyakarta,2025-08-28T13:28:47.884237,extract_from_url,0.9
Kopi NYIA,Rumah Makan ·  · Jl. Wates - Purworejo No.Km. 10,0.0,0,Rp 25–50 rb,-7.8871402,110.0787396,,,Yogyakarta,Modern,,,Buka ⋅ Tutup pukul 22.00,cafe  dekat yogyakarta international airport,2025-08-28T13:29:11.428215,extract_from_url,0.9
Starbucks Kulon Progo Airport,"Kedai Kopi ·  · Bandar Udara Internasional Yogyakarta, Jl. Wates - Purworejo No.Km, RW.42",0.0,0,$$,-7.9000051,110.0585588,,,Yogyakarta,Modern,,,Buka ⋅ Tutup pukul 19.30,cafe  dekat yogyakarta international airport,2025-08-28T13:29:11.452815,extract_from_url,0.9
Kafi:n YIA Yogyakarta International Airport,,0.0,0,,-7.899826,110.0594454,,,Yogyakarta,Modern,,,Buka ⋅ Tutup pukul 20.00,cafe  dekat yogyakarta international airport,2025-08-28T13:29:11.503285,extract_from_url,0.9
Solaria - Bandara Internasional Yogyakarta,,0.0,0,Rp 25–75 rb,-7.8991921,110.059172,,,Yogyakarta,Modern,,,Buka ⋅ Tutup pukul 21.00,cafe  dekat yogyakarta international airport,2025-08-28T13:29:11.685579,extract_from_url,0.9
Roti'O - Yogyakarta International Airport,,0.0,0,Rp 25–50 rb,-7.8991623,110.059625,,,Yogyakarta,Modern,,,Buka sekarang,cafe  dekat yogyakarta international airport,2025-08-28T13:29:11.690362,extract_from_url,0.9
Parking Coffee,,0.0,0,Rp 25–50 rb,-7.8965111,110.0603704,,,Yogyakarta,Coffee Shop,,,Buka ⋅ Tutup pukul 20.00,cafe  dekat yogyakarta international airport,2025-08-28T13:29:11.691944,extract_from_url,0.9
Jolla Coffee & Eatery,,0.0,0,,-7.8878421,110.0747439,,,Yogyakarta,Coffee Shop,,,Buka ⋅ Tutup pukul 20.00,cafe  dekat yogyakarta international airport,2025-08-28T13:29:11.840841,extract_from_url,0.9
Loko Cafe - Malioboro,"Kafe · Komp. Ps. Kembang, Jl. Ps. Kembang",0.0,0,Rp 25–50 rb,-7.7897901,110.3657681,Yogyakarta,,Yogyakarta,Modern,,,Buka ⋅ Tutup pukul 23.00,cafe  malioboro,2025-08-28T13:29:32.950660,extract_from_url,0.9
