name,address,rating,reviews_count,price_range,lat,lon,district,village,regency,type,phone,website,opening_hours,opening_hours_weekly,maps_link,search_query,scraped_at,coordinate_source,precision_score
Javanesa Coffeee,"Coffee shop ·  · 489G+52V, Jl. Gatot Subroto",5.0,461,Rp 1–25.000 per person,-7.8819607,110.3250778,Bantul,Bantul,Bantul,Coffee Shop,,,10.00 am–10.00 pm,"{'Sunday': '10.00\u202fam–10.00\u202fpm', 'Monday': '10.00\u202fam–10.00\u202fpm', 'Tuesday': '10.00\u202fam–10.00\u202fpm', 'Wednesday': '10.00\u202fam–10.00\u202fpm', 'Thursday': '10.00\u202fam–10.00\u202fpm', 'Friday': '1.00–10.00\u202fpm', 'Saturday': '10.00\u202fam–10.00\u202fpm'}",https://www.google.com/maps/place/Javanesa+Coffeee/data=!4m7!3m6!1s0x2e7aff4ffe64e4f7:0x2e1cf4237bd0356f!8m2!3d-7.8819607!4d110.3250778!16s%2Fg%2F11j_0n_rjy!19sChIJ9-Rk_k__ei4RbzXQeyP0HC4?authuser=0&hl=en&rclk=1,beli americano dekat bantul,2025-09-21T22:40:21.358562,extract_from_url,0.9
Haia Space,Cafe ·  · Jl. Jend. Sudirman No.38,4.6,581,Rp 25.000–50.000 per person,-7.8828436,110.3322238,Bantul,Bantul,Bantul,Modern,"
0851-6364-0387",https://instagram.com/haia.space?igshid=1g6xpp25or0vo,8.00 am–11.00 pm,"{'Sunday': '8.00\u202fam–11.00\u202fpm', 'Monday': '8.00\u202fam–11.00\u202fpm', 'Tuesday': '8.00\u202fam–11.00\u202fpm', 'Wednesday': '8.00\u202fam–11.00\u202fpm', 'Thursday': '8.00\u202fam–11.00\u202fpm', 'Friday': '8.00\u202fam–11.00\u202fpm', 'Saturday': '8.00\u202fam–11.00\u202fpm'}",https://www.google.com/maps/place/Haia+Space/data=!4m7!3m6!1s0x2e7a55ac647a54bb:0x770478c6181178e2!8m2!3d-7.8828436!4d110.3322238!16s%2Fg%2F11n0ghpb6f!19sChIJu1R6ZKxVei4R4ngRGMZ4BHc?authuser=0&hl=en&rclk=1,beli americano dekat bantul,2025-09-21T22:40:21.358186,extract_from_url,0.9
Americano Hotel Syariah,"Jl. Imogiri km 4,5 Tegalasri No 95, Wojo, Bangunharjo, Kec. Sewon, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55187",4.8,849,,-7.8322477,110.3747273,Sewon,Panggungharjo,Bantul,Modern,"
0821-4003-0456",,,{},https://www.google.com/maps/place/Americano+Hotel+Syariah/data=!4m10!3m9!1s0x2e7a57a741cb6f99:0xd2e5ca5622b64983!5m2!4m1!1i2!8m2!3d-7.8322477!4d110.3747273!16s%2Fg%2F11lh5cx0gg!19sChIJmW_LQadXei4Rg0m2IlbK5dI?authuser=0&hl=en&rclk=1,beli americano dekat bantul,2025-09-21T22:40:21.380181,extract_from_url,0.9
Sastro's Coffee,Coffee shop · Jl. Tembi No.RT.07,4.7,399,Rp 1–25.000 per person,-7.8699425,110.3530915,Kasihan,Tamantirto,Bantul,Coffee Shop,"
0878-3880-1572",,5.00 pm–12.00 am,"{'Sunday': '5.00\u202fpm–12.00\u202fam', 'Monday': '5.00\u202fpm–12.00\u202fam', 'Tuesday': '5.00\u202fpm–12.00\u202fam', 'Wednesday': '5.00\u202fpm–12.00\u202fam', 'Thursday': '5.00\u202fpm–12.00\u202fam', 'Friday': '5.00\u202fpm–12.00\u202fam', 'Saturday': '5.00\u202fpm–12.00\u202fam'}",https://www.google.com/maps/place/Sastro%27s+Coffee/data=!4m7!3m6!1s0x2e7a57686e07cb3d:0x3ee9c308c416a597!8m2!3d-7.8699425!4d110.3530915!16s%2Fg%2F11gy2scqb6!19sChIJPcsHbmhXei4Rl6UWxAjD6T4?authuser=0&hl=en&rclk=1,beli americano dekat bantul,2025-09-21T22:40:21.721138,extract_from_url,0.9
SKOPPI,Coffee shop · Jl. Tamantirto,4.9,78,Rp 1–25.000 per person,-7.8262339,110.3200871,Bantul,Bantul,Bantul,Coffee Shop,"
0817-9300-400",,"6.00–10.00 am
3.00–11.00 pm","{'Sunday': '6.00–10.00\u202fam\n3.00–11.00\u202fpm', 'Monday': '6.00–10.00\u202fam\n3.00–11.00\u202fpm', 'Tuesday': '6.00–10.00\u202fam\n3.00–11.00\u202fpm', 'Wednesday': '6.00–10.00\u202fam\n3.00–11.00\u202fpm', 'Thursday': '6.00–10.00\u202fam\n3.00–11.00\u202fpm', 'Friday': '6.00–10.00\u202fam\n3.00–11.00\u202fpm', 'Saturday': '6.00–10.00\u202fam\n3.00–11.00\u202fpm'}",https://www.google.com/maps/place/SKOPPI/data=!4m7!3m6!1s0x2e7af9ccf8fed657:0x2757e94c147cfdee!8m2!3d-7.8262339!4d110.3200871!16s%2Fg%2F11y9n_j0qw!19sChIJV9b--Mz5ei4R7v18FEzpVyc?authuser=0&hl=en&rclk=1,beli americano dekat bantul,2025-09-21T22:40:21.726897,extract_from_url,0.9
El Klasiko Coffee and Art,"486H+X5G, Kurahan, Bantul, Bantul Regency, Special Region of Yogyakarta 55711",4.6,10,,-7.8875549,110.3279627,Bantul,Bantul,Bantul,Coffee Shop,,,6.00–11.00 pm,"{'Sunday': '6.00–11.00\u202fpm', 'Monday': '6.00–11.00\u202fpm', 'Tuesday': '6.00–11.00\u202fpm', 'Wednesday': '6.00–11.00\u202fpm', 'Thursday': '6.00–11.00\u202fpm', 'Friday': '6.00–11.00\u202fpm', 'Saturday': '6.00–11.00\u202fpm'}",https://www.google.com/maps/place/El+Klasiko+Coffee+and+Art/data=!4m7!3m6!1s0x2e7aff5657cf0653:0xd2e92c7d046b0551!8m2!3d-7.8875549!4d110.3279627!16s%2Fg%2F11g8_027z3!19sChIJUwbPV1b_ei4RUQVrBH0s6dI?authuser=0&hl=en&rclk=1,beli americano dekat bantul,2025-09-21T22:40:21.732311,extract_from_url,0.9
Shelter Sambat,Coffee shop ·  · Jl. Tentara Pelajar,4.7,310,Rp 25.000–50.000 per person,-7.9001653,110.34609,Bantul,Bantul,Bantul,Coffee Shop,"
0822-2073-3284",https://instagram.com/shelter_sambat?igshid=1i46calhidt5,8.00 am–11.00 pm,"{'Sunday': '8.00\u202fam–11.00\u202fpm', 'Monday': '8.00\u202fam–11.00\u202fpm', 'Tuesday': '8.00\u202fam–11.00\u202fpm', 'Wednesday': '8.00\u202fam–11.00\u202fpm', 'Thursday': '8.00\u202fam–11.00\u202fpm', 'Friday': '8.00\u202fam–11.00\u202fpm', 'Saturday': '8.00\u202fam–11.00\u202fpm'}",https://www.google.com/maps/place/Shelter+Sambat/data=!4m7!3m6!1s0x2e7a55d643e5d457:0x6fac1f439105d072!8m2!3d-7.9001653!4d110.34609!16s%2Fg%2F11lkjlyct9!19sChIJV9TlQ9ZVei4RctAFkUMfrG8?authuser=0&hl=en&rclk=1,beli americano dekat bantul,2025-09-21T22:40:21.903039,extract_from_url,0.9
SÉNA - kopi & pâtisserie,Cafe · Jl. Mrisi No.10,4.8,545,Rp 25.000–50.000 per person,-7.8411879,110.3435757,Bantul,Bantul,Bantul,Modern,"
0821-4616-0662",https://www.instagram.com/sena.jogja/,10.00 am–8.30 pm,"{'Sunday': '10.00\u202fam–8.30\u202fpm', 'Monday': '10.00\u202fam–8.00\u202fpm', 'Tuesday': '10.00\u202fam–8.00\u202fpm', 'Wednesday': '10.00\u202fam–8.00\u202fpm', 'Thursday': '10.00\u202fam–8.00\u202fpm', 'Friday': '10.00\u202fam–8.00\u202fpm', 'Saturday': '10.00\u202fam–8.30\u202fpm'}",https://www.google.com/maps/place/S%C3%89NA+-+kopi+%26+p%C3%A2tisserie/data=!4m7!3m6!1s0x2e7a57a6a2d3f3a5:0x60d7abc50f402e49!8m2!3d-7.8411879!4d110.3435757!16s%2Fg%2F11skvjtw2w!19sChIJpfPToqZXei4RSS5AD8Wr12A?authuser=0&hl=en&rclk=1,beli americano dekat bantul,2025-09-21T22:40:21.949592,extract_from_url,0.9
Jagongan Coffee Roasters,Coffee shop · Jl. Jogoripon,4.8,376,Rp 1–25.000 per person,-7.8502145,110.3495419,Kasihan,Tamantirto,Bantul,Roastery,"
0895-3355-02262",https://instagram.com/_jagongan,9.00 am–11.00 pm,"{'Sunday': '9.00\u202fam–11.00\u202fpm', 'Monday': '9.00\u202fam–11.00\u202fpm', 'Tuesday': '9.00\u202fam–11.00\u202fpm', 'Wednesday': '9.00\u202fam–11.00\u202fpm', 'Thursday': '9.00\u202fam–11.00\u202fpm', 'Friday': '9.00\u202fam–11.00\u202fpm', 'Saturday': '9.00\u202fam–11.00\u202fpm'}",https://www.google.com/maps/place/Jagongan+Coffee+Roasters/data=!4m7!3m6!1s0x2e7a570029ec271f:0x41a30130650e3399!8m2!3d-7.8502145!4d110.3495419!16s%2Fg%2F11h1mj19jl!19sChIJHyfsKQBXei4RmTMOZTABo0E?authuser=0&hl=en&rclk=1,beli americano dekat bantul,2025-09-21T22:40:22.038939,extract_from_url,0.9
Passion Coffee,Coffee shop · Jl. Kenanga No.7,4.6,155,Rp 25.000–50.000 per person,-7.8419918,110.322742,Bantul,Bantul,Bantul,Coffee Shop,"
0813-2988-2738",,10.00 am–10.00 pm,"{'Sunday': '10.00\u202fam–10.00\u202fpm', 'Monday': '12.00–8.00\u202fpm', 'Tuesday': '12.00–8.00\u202fpm', 'Wednesday': '12.00–8.00\u202fpm', 'Thursday': '12.00–8.00\u202fpm', 'Friday': '12.00–8.00\u202fpm', 'Saturday': '10.00\u202fam–10.00\u202fpm'}",https://www.google.com/maps/place/Passion+Coffee/data=!4m7!3m6!1s0x2e7af9faa8f71979:0xeeb2b5fcdb238754!8m2!3d-7.8419918!4d110.322742!16s%2Fg%2F11nf_2c1zm!19sChIJeRn3qPr5ei4RVIcj2_y1su4?authuser=0&hl=en&rclk=1,beli americano dekat bantul,2025-09-21T22:40:22.122930,extract_from_url,0.9
